Artist,Auction_opening_bid,auction_protected,Bloomies cost,Bloomies-sold,Category,circa,Country Of Origin,Featured Poster,Height,JPG,JPG_180_DPI,JPG_300_DPI,Manufaturer Date,Product ID,Product Name,Web Date Added,Web Keywords,Web Main Category,Web price,Web Relevance,Web Sub Category,Width
HEM,700,990,900,,"PR
DUCTS
FRENCH

MULTIPLE
CATALOG ITEM
RFA 2
RFA 4-03
SELECTMICK2
GIFT-SHOW
GO-Ant
THUMBNAILS
Box A
GING
PRODUCTS
DAVID",,Swiss/Switzerland,Featured Poster,47.5,194.jpg,194-180DPI.jpg,194-300DPI.jpg,1922,194,FABRIQUES DE GENEVE,8/10/18,"PRODUCTS
WOMEN
JEWELRY
WATCH
FOR-HER 
SWISS
ART NOUVEAU
valentine
romance
love
flash
FASHION
WEDDING
MARRIAGE
$5,000 & Under
For Your Better Half","Products
Featured Posters",2200,3,"Home/Appliances
OtherProducts
POPULAR POSTERS",63
DELVAL,500,850,700,,"LI
UOR
FRENCH
HORIZONTIAL
HORIZONTAL
MULTIPLE
CATALOG ITEM
Liq
RFA 2
RFA 4-03
GIFT-SHOW
GO-Ant
DAVID",C,French/France,,63,1015.jpg,1015-180DPI.jpg,1015-300DPI.jpg,1930,1015,FAP ANIS,6/20/18,"FRENCH
HORIZONTIAL
WOMEN
FLAPPER
ART DECO
FEATHERS 
$5,000 & Under
GIFTS FOR THE HOME
top picks
HALLOWEEN
$5,000 & Under",Liquor,1400,3,Spirits,47
ANONYMOUS,600,700,,,"FR
NCH
LIQUOR
UNIQUE
RFA 2
APPLEJACK
CHOCOLATE",,French/France,,31,221.jpg,221-180DPI.jpg,221-300DPI.jpg,1932,221,FRED ZIZI,5/24/18,"FRENCH
ART DECO
APERITIF
LIQUOR 
$5,000 & Under",Liquor,1400,3,Spirits,46.5
ANONYMOUS,,,,,"FRENCH
LIQUOR
UNIQUE",C,French/France,,47,234.jpg,234-180DPI.jpg,234-300DPI.jpg,1930,234,GEISWEILER,6/26/18,"LIQUOR
GLASS
WINE
$5,000 & Under",Liquor,1500,3,,63
SATOMI,,,750,,"FR
NCH
SPORTS
UNIQUE
RFA 4-03",C,French/France,,26.5,239.jpg,239-180DPI.jpg,239-300DPI.jpg,1960,239,GOLF - SATOMI,8/10/18,"golf
SUMMER FUN
SUMMER
For Your Better Half
OUTDOORS
SPORT
FATHER'S DAY
Sun Lovers
SUMMER",Sports,1200,4,Golf,38
VILLOT,,,450,,"PRODUCTS
FRENCH
UNIQUE",C,French/France,,47,1026.jpg,1026-180DPI.jpg,1026-300DPI.jpg,1935,1026,GRAND PASTEUR,7/12/18,"MID CENTURY
FURNITURE
DECO
ART DECO
OFFICE
DECOR
FLASH
Father",Products,1200,3,Home/Appliances,63
ANONYMOUS,,,,,"SPORTS
UNIQUE",,American/America,,13.5,1038.jpg,1038-180DPI.jpg,1038-300DPI.jpg,2002,1038,THE KID STAYS IN THE PICTURE - HAND SIGNED,6/22/18,"HAND SIGNED
MOVIE
FILM
PICTURE
MOTION PICTURFATHER'S DAYE
ROBERT EVANS
FILMAKING
FILMAKER
For the Stocking
",Entertainment,75,5,Movie,20
MICH,,,900,,"FR
NCH
TRANSPORT
CYCLES
RFA 2
GIFT
RFA 4-03
UNIQUE",C,French/France,,31.5,274.jpg,274-180DPI.jpg,274-300DPI.jpg,1930,274,J.B. LOUVET BICYCLETTE,7/12/18,"FRENCH
MEN
FATHER'S DAY
BICYCLE
RACING
For-him
SPRING SPORTS
GIFTS FOR HIM
Father
For Your Better Half
graduate
",Transportation,1200,3,"cycling
Bicycles/Motorcycles",44
ANONYMOUS,,,,,"ENTERTAINMENT
FRENCH
ENTERTAIN
UNIQUE",,American/America,,25,1039.jpg,1039-180DPI.jpg,1039-300DPI.jpg,1966,1039,HI-YO SILVER! THE LONE RANGER,1/2/18,"HORSE
LONE RANGER
FATHER'S DAY
WESTERN
AMERICANA
MIDCENTURY
POP ART
COWBOY
MID CENTURY
For the Stocking
VALENTINE
RODEO",Entertainment,500,4,"Radio/TV
Equestrian",38
BAZZI,125,,,,"ITALIAN
LIQUOR
MULTIPLE
CATALOG ITEM
Liq
APPLEJACK
GIFT-SHOW
SELECT. JODI
DAVID",,Italian/Italy,,14,851.jpg,851-180DPI.jpg,851-300DPI.jpg,1923,851,JOHN HOPPS SMALL,2/22/18,"LIQUOR
FLAGS
MARSALA
wine
athlete
gay

ITALIAN",Liquor,300,3,Spirits,19
